"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time < 15 mins","2022","Both sexes","Bicycle","All persons","Number","29089"
"Journey time < 15 mins","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","12772"
"Journey time < 15 mins","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","8409"
"Journey time < 15 mins","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","6094"
"Journey time < 15 mins","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","1814"
"Journey time < 15 mins","2022","Both sexes","Bus, minibus or coach","All persons","Number","31917"
"Journey time < 15 mins","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","4909"
"Journey time < 15 mins","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","16358"
"Journey time < 15 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","9053"
"Journey time < 15 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","1597"
"Journey time < 15 mins","2022","Both sexes","Train, DART or LUAS","All persons","Number","1830"
"Journey time < 15 mins","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","951"
"Journey time < 15 mins","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","128"
"Journey time < 15 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","428"
"Journey time < 15 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","323"
"Journey time < 15 mins","2022","Both sexes","Motorcycle or scooter","All persons","Number","1968"
"Journey time < 15 mins","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","1795"
"Journey time < 15 mins","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","84"
"Journey time < 15 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","89"
"Journey time < 15 mins","2022","Both sexes","Motor car: Driver","All persons","Number","284006"
"Journey time < 15 mins","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","273810"
"Journey time < 15 mins","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2611"
"Journey time < 15 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","7585"
