"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time < 15 mins","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2033"
"Journey time < 15 mins","2022","Female","Van","All persons","Number","1197"
"Journey time < 15 mins","2022","Female","Van","Population aged 15 years and over at work","Number","698"
"Journey time < 15 mins","2022","Female","Van","Children at school aged between 5 and 12 years","Number","357"
"Journey time < 15 mins","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","135"
"Journey time < 15 mins","2022","Female","Van","Students at school or college aged 19 years and over","Number","7"
"Journey time < 15 mins","2022","Female","Other, incl. lorry","All persons","Number","328"
"Journey time < 15 mins","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","167"
"Journey time < 15 mins","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","105"
"Journey time < 15 mins","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","40"
"Journey time < 15 mins","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","16"
"Journey time < 15 mins","2022","Female","Not stated","All persons","Number","3304"
"Journey time < 15 mins","2022","Female","Not stated","Population aged 15 years and over at work","Number","553"
"Journey time < 15 mins","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","2208"
"Journey time < 15 mins","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","474"
"Journey time < 15 mins","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","69"
"Journey time < 15 mins","2022","Female","All means of travel","All persons","Number","469376"
"Journey time < 15 mins","2022","Female","All means of travel","Population aged 15 years and over at work","Number","219840"
"Journey time < 15 mins","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","167119"
"Journey time < 15 mins","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","66437"
"Journey time < 15 mins","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","15980"
"Journey time 15 mins - < 30 mins","2022","Both sexes","On foot","All persons","Number","139197"
"Journey time 15 mins - < 30 mins","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","57266"
"Journey time 15 mins - < 30 mins","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","35332"
"Journey time 15 mins - < 30 mins","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","30696"
"Journey time 15 mins - < 30 mins","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","15903"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bicycle","All persons","Number","41370"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","27243"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","4576"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","5832"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","3719"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bus, minibus or coach","All persons","Number","92961"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","22083"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","21415"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","42171"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","7292"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Train, DART or LUAS","All persons","Number","10802"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","6817"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","348"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1861"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1776"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motorcycle or scooter","All persons","Number","3614"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","3357"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","78"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","179"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Driver","All persons","Number","405766"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","390300"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2592"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","12874"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Passenger","All persons","Number","162183"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","29631"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","67210"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","59408"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5934"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Van","All persons","Number","32064"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Van","Population aged 15 years and over at work","Number","31557"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","219"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","195"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","93"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Other, incl. lorry","All persons","Number","2861"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","2599"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","125"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","104"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","33"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Not stated","All persons","Number","4026"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","1321"
"Journey time 15 mins - < 30 mins","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","1793"
